"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-16T04:07:42.313Z","Amsterdam","AMS","London","LHR","2024-09-16T13:45:00.000Z","16/09/2024, 15:45:00",1,"BA439"
"2024-09-16T04:07:42.314Z","Amsterdam","AMS","Edinburgh","EDI","2024-09-16T14:15:00.000Z","16/09/2024, 16:15:00",1,"KL931"
"2024-09-16T04:07:42.315Z","Amsterdam","AMS","Landvetter","GOT","2024-09-16T14:20:00.000Z","16/09/2024, 16:20:00",1,"KL1235"
"2024-09-16T04:07:42.316Z","Amsterdam","AMS","Barcelona","BCN","2024-09-16T14:20:00.000Z","16/09/2024, 16:20:00",1,"VY8310"
"2024-09-16T04:07:42.316Z","Amsterdam","AMS",,"RHO","2024-09-16T14:05:00.000Z","16/09/2024, 16:05:00",1,"6Y1201"
"2024-09-16T04:07:42.315Z","Amsterdam","AMS","Frankfurt am Main","FRA","2024-09-16T14:10:00.000Z","16/09/2024, 16:10:00",1,"ZQ1821"
"2024-09-16T04:07:42.317Z","Amsterdam","AMS","Ibiza Island / Eivisa","IBZ","2024-09-16T14:05:00.000Z","16/09/2024, 16:05:00",1,"CD121"
"2024-09-16T04:07:42.318Z","Amsterdam","AMS","Jeddah","JED","2024-09-16T14:05:00.000Z","16/09/2024, 16:05:00",1,"SV934"
"2024-09-16T04:07:42.318Z","Amsterdam","AMS","Aberdeen","ABZ","2024-09-16T14:05:00.000Z","16/09/2024, 16:05:00",1,"KL917"
"2024-09-16T04:07:58.379Z","Amsterdam","AMS","Nuremberg","NUE","2024-09-16T14:30:00.000Z","16/09/2024, 16:30:00",1,"KL1845"
"2024-09-16T04:07:58.379Z","Amsterdam","AMS","Frankfurt am Main","FRA","2024-09-16T14:30:00.000Z","16/09/2024, 16:30:00",1,"UC1501"
"2024-09-16T04:07:58.377Z","Amsterdam","AMS","Madrid","MAD","2024-09-16T14:25:00.000Z","16/09/2024, 16:25:00",1,"I23721"
"2024-09-16T04:07:58.379Z","Amsterdam","AMS","Rome","FCO","2024-09-16T14:35:00.000Z","16/09/2024, 16:35:00",1,"KL1607"
"2024-09-16T04:07:58.380Z","Amsterdam","AMS","Stuttgart","STR","2024-09-16T14:25:00.000Z","16/09/2024, 16:25:00",1,"KL1833"
"2024-09-16T04:07:58.378Z","Amsterdam","AMS","Manchester","MAN","2024-09-16T14:30:00.000Z","16/09/2024, 16:30:00",1,"KL1035"
"2024-09-16T04:07:58.383Z","Amsterdam","AMS","Kristiansand","KRS","2024-09-16T14:25:00.000Z","16/09/2024, 16:25:00",1,"ZQ1187"
"2024-09-16T04:07:58.381Z","Amsterdam","AMS","Ibiza Island / Eivisa","IBZ","2024-09-16T14:20:00.000Z","16/09/2024, 16:20:00",1,"WG1531"
"2024-09-16T04:07:58.382Z","Amsterdam","AMS","Cardiff","CWL","2024-09-16T14:25:00.000Z","16/09/2024, 16:25:00",1,"KL1091"
"2024-09-16T04:07:58.382Z","Amsterdam","AMS","Prague","PRG","2024-09-16T14:20:00.000Z","16/09/2024, 16:20:00",1,"KL1357"
"2024-09-16T04:07:58.381Z","Amsterdam","AMS","Newcastle upon Tyne","NCL","2024-09-16T14:25:00.000Z","16/09/2024, 16:25:00",1,"KL959"
"2024-09-16T04:07:58.383Z","Amsterdam","AMS","Preveza","PVK","2024-09-16T14:30:00.000Z","16/09/2024, 16:30:00",1,"HV5791"
"2024-09-16T04:07:58.384Z","Amsterdam","AMS","Naples","NAP","2024-09-16T14:35:00.000Z","16/09/2024, 16:35:00",1,"U24232"
"2024-09-16T04:08:14.439Z","Amsterdam","AMS","Barcelona","BCN","2024-09-16T14:45:00.000Z","16/09/2024, 16:45:00",1,"KL1519"
"2024-09-16T04:08:14.440Z","Amsterdam","AMS","Alicante / Benidorm / Costa Blanca","ALC","2024-09-16T14:45:00.000Z","16/09/2024, 16:45:00",1,"HV6149"
"2024-09-16T04:08:14.438Z","Amsterdam","AMS","Kingston upon Hull","HUY","2024-09-16T14:45:00.000Z","16/09/2024, 16:45:00",1,"KL973"
"2024-09-16T04:08:14.442Z","Amsterdam","AMS","Berlin","BER","2024-09-16T14:45:00.000Z","16/09/2024, 16:45:00",1,"KL1781"
"2024-09-16T04:08:14.441Z","Amsterdam","AMS","Istanbul","SAW","2024-09-16T14:35:00.000Z","16/09/2024, 16:35:00",1,"PC1254"
"2024-09-16T04:08:14.444Z","Amsterdam","AMS","Birmingham","BHX","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"P61047"
"2024-09-16T04:08:14.441Z","Amsterdam","AMS","EuroAirport (Basel)","BSL","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"KL1947"
"2024-09-16T04:08:14.442Z","Amsterdam","AMS","Malaga","AGP","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"HV6223"
"2024-09-16T04:08:14.443Z","Amsterdam","AMS","Tirana","TIA","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"HV5125"
"2024-09-16T04:08:14.443Z","Amsterdam","AMS","Southampton","SOU","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"KL1071"
"2024-09-16T04:08:14.444Z","Amsterdam","AMS","West Yorkshire","LBA","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"KL1023"
"2024-09-16T04:08:14.446Z","Amsterdam","AMS","Bristol","BRS","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"ZQ1081"
"2024-09-16T04:08:14.445Z","Amsterdam","AMS","London","LCY","2024-09-16T14:35:00.000Z","16/09/2024, 16:35:00",1,"KL989"
"2024-09-16T04:08:14.445Z","Amsterdam","AMS","Billund","BLL","2024-09-16T14:40:00.000Z","16/09/2024, 16:40:00",1,"KL1297"
"2024-09-16T04:08:30.521Z","Amsterdam","AMS","Hamburg","HAM","2024-09-16T14:50:00.000Z","16/09/2024, 16:50:00",1,"KL1757"
"2024-09-16T04:08:30.518Z","Amsterdam","AMS","Hanover","HAJ","2024-09-16T14:50:00.000Z","16/09/2024, 16:50:00",1,"ZQ1791"
"2024-09-16T04:08:30.520Z","Amsterdam","AMS","Warsaw","WAW","2024-09-16T15:00:00.000Z","16/09/2024, 17:00:00",1,"KL1317"
"2024-09-16T04:08:30.523Z","Amsterdam","AMS","Oslo","OSL","2024-09-16T14:50:00.000Z","16/09/2024, 16:50:00",1,"KL1205"
"2024-09-16T04:08:30.519Z","Amsterdam","AMS","Madrid","MAD","2024-09-16T14:55:00.000Z","16/09/2024, 16:55:00",1,"KL1507"
"2024-09-16T04:08:30.522Z","Amsterdam","AMS","Norwich","NWI","2024-09-16T15:00:00.000Z","16/09/2024, 17:00:00",1,"KL1061"
"2024-09-16T04:08:30.520Z","Amsterdam","AMS","Kingston upon Hull","HUY","2024-09-16T14:55:00.000Z","16/09/2024, 16:55:00",1,"T3973"
"2024-09-16T04:08:30.521Z","Amsterdam","AMS","Luxembourg","LUX","2024-09-16T15:00:00.000Z","16/09/2024, 17:00:00",1,"ZQ1713"
