"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","arrivalTimeZulu","arrivalTimeLocal","arrivalTimeDayOfWeek","flightNumber"
"2024-09-16T04:24:16.247Z","London","LHR","Amsterdam","AMS","2024-09-16T19:55:00.000Z","16/09/2024, 21:55:00",1,"BA444"
"2024-09-16T04:24:16.247Z","London","STN","Amsterdam","AMS","2024-09-16T19:35:00.000Z","16/09/2024, 21:35:00",1,"U27846"
"2024-09-16T04:24:16.246Z","Southampton","SOU","Amsterdam","AMS","2024-09-16T19:50:00.000Z","16/09/2024, 21:50:00",1,"KL1066"
"2024-09-16T04:24:16.247Z","Nice","NCE","Amsterdam","AMS","2024-09-16T20:00:00.000Z","16/09/2024, 22:00:00",1,"U21754"
"2024-09-16T04:24:32.192Z","Sal","SID","Amsterdam","AMS","2024-09-16T21:05:00.000Z","16/09/2024, 23:05:00",1,"OR3721"
"2024-09-16T04:24:32.192Z","Edinburgh","EDI","Amsterdam","AMS","2024-09-16T20:20:00.000Z","16/09/2024, 22:20:00",1,"U27838"
"2024-09-16T04:24:32.190Z","Copenhagen","CPH","Amsterdam","AMS","2024-09-16T20:25:00.000Z","16/09/2024, 22:25:00",1,"KL1278"
"2024-09-16T04:24:32.193Z","London","LTN","Amsterdam","AMS","2024-09-16T20:20:00.000Z","16/09/2024, 22:20:00",1,"U27832"
"2024-09-16T04:24:32.196Z","Munich","MUC","Amsterdam","AMS","2024-09-16T20:25:00.000Z","16/09/2024, 22:25:00",1,"KL1858"
"2024-09-16T04:24:32.195Z","Ibiza Island / Eivisa","IBZ","Amsterdam","AMS","2024-09-16T20:45:00.000Z","16/09/2024, 22:45:00",1,"WG1532"
"2024-09-16T04:24:32.195Z","Florence (Firenze)","FLR","Amsterdam","AMS","2024-09-16T20:30:00.000Z","16/09/2024, 22:30:00",1,"KL1658"
"2024-09-16T04:24:32.193Z","Warsaw","WAW","Amsterdam","AMS","2024-09-16T20:25:00.000Z","16/09/2024, 22:25:00",1,"LO269"
"2024-09-16T04:24:32.196Z","Prague","PRG","Amsterdam","AMS","2024-09-16T20:20:00.000Z","16/09/2024, 22:20:00",1,"U27930"
"2024-09-16T04:24:32.197Z","Milan","LIN","Amsterdam","AMS","2024-09-16T20:40:00.000Z","16/09/2024, 22:40:00",1,"AZ118"
"2024-09-16T04:24:32.197Z","Ibiza Island / Eivisa","IBZ","Amsterdam","AMS","2024-09-16T20:15:00.000Z","16/09/2024, 22:15:00",1,"CD122"
"2024-09-16T04:24:32.198Z","London","LGW","Amsterdam","AMS","2024-09-16T20:20:00.000Z","16/09/2024, 22:20:00",1,"U28686"
"2024-09-16T04:24:32.198Z","London","LCY","Amsterdam","AMS","2024-09-16T20:15:00.000Z","16/09/2024, 22:15:00",1,"KL996"
"2024-09-16T04:24:32.196Z","Birmingham","BHX","Amsterdam","AMS","2024-09-16T20:25:00.000Z","16/09/2024, 22:25:00",1,"KL1050"
"2024-09-16T04:24:32.198Z","Lisbon","LIS","Amsterdam","AMS","2024-09-16T20:20:00.000Z","16/09/2024, 22:20:00",1,"TP674"
"2024-09-16T04:24:48.890Z","Marrakech","RAK","Amsterdam","AMS","2024-09-16T21:50:00.000Z","16/09/2024, 23:50:00",1,"HV5752"
"2024-09-16T04:24:48.891Z","London","LHR","Amsterdam","AMS","2024-09-16T21:10:00.000Z","16/09/2024, 23:10:00",1,"KL1016"
"2024-09-16T04:24:48.890Z","Tirana","TIA","Amsterdam","AMS","2024-09-16T21:00:00.000Z","16/09/2024, 23:00:00",1,"HV5126"
"2024-09-16T04:24:48.897Z","Alicante / Benidorm / Costa Blanca","ALC","Amsterdam","AMS","2024-09-16T21:00:00.000Z","16/09/2024, 23:00:00",1,"HV6150"
"2024-09-16T04:24:48.893Z","Dublin","DUB","Amsterdam","AMS","2024-09-16T21:25:00.000Z","16/09/2024, 23:25:00",1,"KL1144"
"2024-09-16T04:24:48.897Z","Lisbon","LIS","Amsterdam","AMS","2024-09-16T21:00:00.000Z","16/09/2024, 23:00:00",1,"KL1586"
"2024-09-16T04:24:48.893Z","Sevilla","SVQ","Amsterdam","AMS","2024-09-16T21:20:00.000Z","16/09/2024, 23:20:00",1,"HV6730"
"2024-09-16T04:24:48.898Z","Stockholm","ARN","Amsterdam","AMS","2024-09-16T21:00:00.000Z","16/09/2024, 23:00:00",1,"KL1226"
"2024-09-16T04:24:48.897Z","Madrid","MAD","Amsterdam","AMS","2024-09-16T21:00:00.000Z","16/09/2024, 23:00:00",1,"KL1508"
"2024-09-16T04:24:48.892Z","Malaga","AGP","Amsterdam","AMS","2024-09-16T21:35:00.000Z","16/09/2024, 23:35:00",1,"HV6224"
"2024-09-16T04:24:48.895Z","Zakynthos (Zakinthos)","ZTH","Amsterdam","AMS","2024-09-16T21:20:00.000Z","16/09/2024, 23:20:00",1,"HV5094"
"2024-09-16T04:24:48.896Z","London","LCY","Amsterdam","AMS","2024-09-16T21:00:00.000Z","16/09/2024, 23:00:00",1,"KL998"
